date;maximum_temperature;minimum_temperature;average_temperature;atmospheric_pressure;wind_speed;precipitation;effective_temperature
01.01.1937;-27.8;-32.2;-30.3;;3;0;
02.01.1937;-26.1;-33.9;-30.7;;1;0;
03.01.1937;-32.8;-33.9;-33.6;;6;0;
04.01.1937;-32.2;-35;-32.3;;7;0;
05.01.1937;-27.8;-35;-32.7;;4;0;
06.01.1937;-11.1;-25;-19.7;;12;;
07.01.1937;-2.2;-7.2;-3.4;;15;;
08.01.1937;-1.1;-2.8;-2.2;;14;;
09.01.1937;-2.8;-6.1;-4.7;;11;;
10.01.1937;-2.2;-8.9;-4;;11;;
11.01.1937;-2.2;-7.8;-5.3;;;0;
15.01.1937;-2.2;-5;-3.1;;13;0;
18.01.1937;-1.1;-3.9;-2.3;;6;;
19.01.1937;-2.2;-6.1;-4;;5;;
20.01.1937;-6.1;-7.8;-6.8;;1;;
21.01.1937;-5;-7.8;-6.5;;6;;
22.01.1937;-8.9;-11.1;-9.4;;3;;
23.01.1937;-7.2;-11.1;-7.5;;2;0;
25.01.1937;-12.8;-17.8;-14.9;;;0;
26.01.1937;-7.8;-18.9;-14.6;;1;0;
27.01.1937;-3.9;-10;-6.1;;9;;
28.01.1937;-3.9;-12.8;-8.3;;9;;
31.01.1937;-8.9;-18.9;-12.9;;;;
01.02.1937;-15;-23.9;-19;;16;0;
02.02.1937;-10;-17.2;-12.5;;4;;
03.02.1937;-5;-10;-7.5;;10;0;
04.02.1937;-8.9;-16.1;-12.5;;12;;
06.02.1937;-17.2;-23.9;-19.2;;5;0;
08.02.1937;-5;-17.8;-10;;11;;
09.02.1937;-2.8;-7.8;-5.2;;12;;
10.02.1937;-8.9;-10;-9.2;;6;;
13.02.1937;-20;-36.1;-28.3;;3;0;
14.02.1937;-13.9;-31.1;-21.3;;2;;
15.02.1937;-3.9;-16.1;-5.8;;12;;
16.02.1937;-2.8;-3.9;-3.3;;16;0;
17.02.1937;-2.8;-5;-3.9;;9;;
18.02.1937;-5;-12.8;-8.8;;6;;
19.02.1937;-5;-22.2;-15.8;;7;0;
20.02.1937;-7.8;-22.8;-16.7;;13;0;
21.02.1937;-22.8;-27.2;-24.7;;11;0;
23.02.1937;-26.1;-37.8;-32.5;;1;0;
24.02.1937;-32.8;-37.8;-35;;4;0;
25.02.1937;-30;-36.1;-31.8;;5;0;
26.02.1937;-23.9;-32.8;-28.2;;1;0;
27.02.1937;-32.2;-37.8;-35.3;;1;0;
28.02.1937;-32.8;-37.8;-35.3;;3;0;
01.03.1937;-28.9;-38.9;-31.8;;4;0;
02.03.1937;-12.8;-28.9;-17.8;;7;;
03.03.1937;-12.2;-17.8;-15.3;;7;;
04.03.1937;-17.8;-26.1;-22.7;;8;0;
05.03.1937;-23.9;-27.8;-25.3;;6;0;
07.03.1937;-27.8;-31.1;-28.6;;6;0;
